,target_time,950m,2000m,5000m,60min,80min
0,6:10,1:28.8,1:32.5,1:37.3,1:45.0,1:46.7
1,6:12,1:29.2,1:33.0,1:37.9,1:45.5,1:47.2
2,6:14,1:29.7,1:33.5,1:38.4,1:46.0,1:47.7
3,6:16,1:30.2,1:34.0,1:38.9,1:46.6,1:48.3
4,6:18,1:30.7,1:34.5,1:39.4,1:47.1,1:48.8
5,6:20,1:31.2,1:35.0,1:40.0,1:47.6,1:49.4
6,6:22,1:31.6,1:35.5,1:40.5,1:48.2,1:49.9
7,6:24,1:32.1,1:36.0,1:41.0,1:48.7,1:50.5
8,6:26,1:32.6,1:36.5,1:41.5,1:49.2,1:51.0
9,6:28,1:33.1,1:37.0,1:42.1,1:49.8,1:51.5
10,6:30,1:33.5,1:37.5,1:42.6,1:50.3,1:52.1
11,6:32,1:34.0,1:38.0,1:43.1,1:50.8,1:52.6
12,6:34,1:34.5,1:38.5,1:43.6,1:51.4,1:53.2
13,6:36,1:35.0,1:39.0,1:44.2,1:51.9,1:53.7
14,6:38,1:35.5,1:39.5,1:44.7,1:52.4,1:54.3
15,6:40,1:35.9,1:40.0,1:45.2,1:53.0,1:54.8
16,6:42,1:36.4,1:40.5,1:45.7,1:53.5,1:55.3
17,6:44,1:36.9,1:41.0,1:46.3,1:54.0,1:55.9
18,6:46,1:37.4,1:41.5,1:46.8,1:54.6,1:56.4
19,6:48,1:37.9,1:42.0,1:47.3,1:55.1,1:57.0
20,6:50,1:38.3,1:42.5,1:47.9,1:55.6,1:57.5
21,6:52,1:38.8,1:43.0,1:48.4,1:56.2,1:58.1
22,6:54,1:39.3,1:43.5,1:48.9,1:56.7,1:58.6
23,6:56,1:39.8,1:44.0,1:49.4,1:57.2,1:59.1
24,6:58,1:40.3,1:44.5,1:50.0,1:57.8,1:59.7
25,7:00,1:40.7,1:45.0,1:50.5,1:58.3,2:00.2
26,7:02,1:41.2,1:45.5,1:51.0,1:58.8,2:00.8
27,7:04,1:41.7,1:46.0,1:51.5,1:59.4,2:01.3
28,7:06,1:42.2,1:46.5,1:52.1,1:59.9,2:01.8
29,7:08,1:42.7,1:47.0,1:52.6,2:00.4,2:02.4
30,7:10,1:43.1,1:47.5,1:53.1,2:01.0,2:02.9
31,7:12,1:43.6,1:48.0,1:53.6,2:01.5,2:03.5
32,7:14,1:44.1,1:48.5,1:54.2,2:02.0,2:04.0
33,7:16,1:44.6,1:49.0,1:54.7,2:02.6,2:04.5
34,7:18,1:45.1,1:49.5,1:55.2,2:03.1,2:05.1
35,7:20,1:45.5,1:50.0,1:55.7,2:03.6,2:05.6
36,7:22,1:46.0,1:50.5,1:56.3,2:04.2,2:06.2
37,7:24,1:46.5,1:51.0,1:56.8,2:04.7,2:06.7
38,7:26,1:47.0,1:51.5,1:57.3,2:05.2,2:07.2
39,7:28,1:47.5,1:52.0,1:57.8,2:05.7,2:07.8
40,7:30,1:47.9,1:52.5,1:58.4,2:06.3,2:08.3
41,7:32,1:48.4,1:53.0,1:58.9,2:06.8,2:08.8
42,7:34,1:48.9,1:53.5,1:59.4,2:07.3,2:09.4
43,7:36,1:49.4,1:54.0,1:60.0,2:07.9,2:09.9
44,7:38,1:49.9,1:54.5,2:00.5,2:08.4,2:10.5
45,7:40,1:50.3,1:55.0,2:01.0,2:08.9,2:11.0
46,7:42,1:50.8,1:55.5,2:01.5,2:09.5,2:11.5
47,7:44,1:51.3,1:56.0,2:02.1,2:10.0,2:12.1
48,7:46,1:51.8,1:56.5,2:02.6,2:10.5,2:12.6
49,7:48,1:52.3,1:57.0,2:03.1,2:11.0,2:13.2
50,7:50,1:52.7,1:57.5,2:03.6,2:11.6,2:13.7
51,7:52,1:53.2,1:58.0,2:04.2,2:12.1,2:14.2
52,7:54,1:53.7,1:58.5,2:04.7,2:12.6,2:14.8
53,7:56,1:54.2,1:59.0,2:05.2,2:13.2,2:15.3
54,7:58,1:54.7,1:59.5,2:05.7,2:13.7,2:15.8
55,8:00,1:55.1,2:00.0,2:06.3,2:14.2,2:16.4
56,8:02,1:55.6,2:00.5,2:06.8,2:14.7,2:16.9
57,8:04,1:56.1,2:01.0,2:07.3,2:15.3,2:17.4
58,8:06,1:56.6,2:01.5,2:07.8,2:15.8,2:18.0
59,8:08,1:57.1,2:02.0,2:08.4,2:16.3,2:18.5
60,8:10,1:57.5,2:02.5,2:08.9,2:16.9,2:19.1
61,8:12,1:58.0,2:03.0,2:09.4,2:17.4,2:19.6
62,8:14,1:58.5,2:03.5,2:09.9,2:17.9,2:20.1
63,8:16,1:59.0,2:04.0,2:10.5,2:18.4,2:20.7
64,8:18,1:59.5,2:04.5,2:11.0,2:19.0,2:21.2
65,8:20,1:59.9,2:05.0,2:11.5,2:19.5,2:21.7
66,8:22,2:00.4,2:05.5,2:12.1,2:20.0,2:22.3
67,8:24,2:00.9,2:06.0,2:12.6,2:20.5,2:22.8
68,8:26,2:01.4,2:06.5,2:13.1,2:21.1,2:23.3
69,8:28,2:01.9,2:07.0,2:13.6,2:21.6,2:23.9
70,8:30,2:02.3,2:07.5,2:14.2,2:22.1,2:24.4
71,8:32,2:02.8,2:08.0,2:14.7,2:22.6,2:24.9
72,8:34,2:03.3,2:08.5,2:15.2,2:23.2,2:25.5
73,8:36,2:03.8,2:09.0,2:15.7,2:23.7,2:26.0
74,8:38,2:04.3,2:09.5,2:16.3,2:24.2,2:26.6
75,8:40,2:04.7,2:10.0,2:16.8,2:24.8,2:27.1
76,8:42,2:05.2,2:10.5,2:17.3,2:25.3,2:27.6
77,8:44,2:05.7,2:11.0,2:17.8,2:25.8,2:28.2
78,8:46,2:06.2,2:11.5,2:18.4,2:26.3,2:28.7
79,8:48,2:06.7,2:12.0,2:18.9,2:26.9,2:29.2
80,8:50,2:07.1,2:12.5,2:19.4,2:27.4,2:29.8
81,8:52,2:07.6,2:13.0,2:19.9,2:27.9,2:30.3
82,8:54,2:08.1,2:13.5,2:20.5,2:28.4,2:30.8
83,8:56,2:08.6,2:14.0,2:21.0,2:29.0,2:31.4
84,8:58,2:09.1,2:14.5,2:21.5,2:29.5,2:31.9
85,9:00,2:09.5,2:15.0,2:22.1,2:30.0,2:32.4
86,9:02,2:10.0,2:15.5,2:22.6,2:30.5,2:33.0
87,9:04,2:10.5,2:16.0,2:23.1,2:31.1,2:33.5
88,9:06,2:11.0,2:16.5,2:23.6,2:31.6,2:34.0
